imagefile,id,category,feature,avg-x-r,avg-y-r,xmod,ymod,x,y
LLD JPG all/L (101)_Page_04.jpg,4,text-emphasis,b/u,917,1038,1,1,917,1038
LLD JPG all/L (101)_Page_04.jpg,3,text-emphasis,b/u,919,886,1,1,919,886
LLD JPG all/L (101)_Page_04.jpg,1,graphic,list,243,473,1,1,243,473
LLD JPG all/L (101)_Page_05.jpg,2,graphic,footer,895,2128,1,1,895,2128
LLD JPG all/L (101)_Page_05.jpg,1,graphic,list,259,1065,1,1,259,1065
LLD JPG all/L (101)_Page_06.jpg,7,graphic,footer,904,2137,1,1,904,2137
LLD JPG all/L (101)_Page_06.jpg,6,text-emphasis,underline,871,1954,1,1,871,1954
LLD JPG all/L (101)_Page_06.jpg,5,text-emphasis,underline,1000,1885,1,1,1000,1885
LLD JPG all/L (101)_Page_06.jpg,4,text-emphasis,underline,840,1748,1,1,840,1748
LLD JPG all/L (101)_Page_06.jpg,3,text-emphasis,underline,802,1528,1,1,802,1528
LLD JPG all/L (101)_Page_06.jpg,1,graphic,list,255,1087,1,1,255,1087
LLD JPG all/L (101)_Page_06.jpg,2,text-emphasis,underline,1197,913,1,1,1197,913
LLD JPG all/L (101)_Page_07.jpg,2,graphic,footer,900,2115,1,1,900,2115
LLD JPG all/L (101)_Page_07.jpg,1,graphic,list,256,954,1,1,256,954
LLD JPG all/L (101)_Page_07.jpg,4,text-emphasis,underline,846,820,1,1,846,820
LLD JPG all/L (101)_Page_07.jpg,3,text-emphasis,underline,661,239,1,1,661,239
LLD JPG all/L (101)_Page_08.jpg,2,graphic,footer,896,2115,1,1,896,2115
LLD JPG all/L (101)_Page_08.jpg,3,text-emphasis,italic,857,1924,1,1,857,1924
LLD JPG all/L (101)_Page_08.jpg,1,graphic,list,255,1103,1,1,255,1103
LLD JPG all/L (101)_Page_09.jpg,2,graphic,footer,900,2121,1,1,900,2121
LLD JPG all/L (101)_Page_09.jpg,3,text-emphasis,italic,1334,1460,1,1,1334,1460
LLD JPG all/L (101)_Page_09.jpg,4,text-emphasis,italic,1210,1338,1,1,1210,1338
LLD JPG all/L (101)_Page_09.jpg,1,graphic,list,251,1119,1,1,251,1119
LLD JPG all/L (101)_Page_09.jpg,5,text-emphasis,italic,1372,796,1,1,1372,796
LLD JPG all/L (101)_Page_10.jpg,3,graphic,footer,907,2128,1,1,907,2128
LLD JPG all/L (101)_Page_10.jpg,2,graphic,list,263,1958,1,1,263,1958
LLD JPG all/L (101)_Page_10.jpg,4,text-emphasis,italic,895,1833,1,1,895,1833
LLD JPG all/L (101)_Page_10.jpg,8,text-emphasis,italic,1083,1590,1,1,1083,1590
LLD JPG all/L (101)_Page_10.jpg,7,text-emphasis,italic,1125,1519,1,1,1125,1519
LLD JPG all/L (101)_Page_10.jpg,6,text-emphasis,italic,1187,1409,1,1,1187,1409
LLD JPG all/L (101)_Page_10.jpg,5,text-emphasis,italic,932,1338,1,1,932,1338
LLD JPG all/L (101)_Page_10.jpg,11,text-emphasis,italic,916,1130,1,1,916,1130
LLD JPG all/L (101)_Page_10.jpg,10,text-emphasis,italic,913,1003,1,1,913,1003
LLD JPG all/L (101)_Page_10.jpg,1,graphic,list,331,963,1,1,331,963
LLD JPG all/L (101)_Page_10.jpg,9,text-emphasis,italic,874,273,1,1,874,273
LLD JPG all/L (101)_Page_11.jpg,3,graphic,footer,888,2126,1,1,888,2126
LLD JPG all/L (101)_Page_11.jpg,2,graphic,list,357,1505,1,1,357,1505
LLD JPG all/L (101)_Page_11.jpg,8,text-emphasis,underline,957,802,1,1,957,802
LLD JPG all/L (101)_Page_11.jpg,7,text-emphasis,underline,486,553,1,1,486,553
LLD JPG all/L (101)_Page_11.jpg,6,text-emphasis,underline,1230,485,1,1,1230,485
LLD JPG all/L (101)_Page_11.jpg,1,graphic,list,256,484,1,1,256,484
LLD JPG all/L (101)_Page_11.jpg,5,text-emphasis,underline,1321,364,1,1,1321,364
LLD JPG all/L (101)_Page_11.jpg,4,text-emphasis,underline,1405,171,1,1,1405,171
LLD JPG all/L (101)_Page_12.jpg,2,graphic,footer,905,2129,1,1,905,2129
LLD JPG all/L (101)_Page_12.jpg,1,graphic,list,252,1051,1,1,252,1051
LLD JPG all/L (101)_Page_12.jpg,3,text-emphasis,italic,857,460,1,1,857,460
LLD JPG all/L (101)_Page_13.jpg,5,graphic,footer,905,2129,1,1,905,2129
LLD JPG all/L (101)_Page_13.jpg,3,text-emphasis,b/u/centered,878,1835,1,1,878,1835
LLD JPG all/L (101)_Page_13.jpg,2,text-emphasis,b/u/c/centered,895,1761,1,1,895,1761
LLD JPG all/L (101)_Page_13.jpg,1,graphic,list,271,1026,1,1,271,1026
LLD JPG all/L (101)_Page_14.jpg,5,graphic,footer,903,2118,1,1,903,2118
LLD JPG all/L (101)_Page_14.jpg,4,text-emphasis,underline,841,2051,1,1,841,2051
LLD JPG all/L (101)_Page_14.jpg,3,text-emphasis,underline,857,1977,1,1,857,1977
LLD JPG all/L (101)_Page_14.jpg,2,text-emphasis,underline,1084,1762,1,1,1084,1762
LLD JPG all/L (101)_Page_14.jpg,7,text-emphasis,italic,1375,1761,1,1,1375,1761
LLD JPG all/L (101)_Page_14.jpg,6,graphic,list,255,1089,1,1,255,1089
LLD JPG all/L (101)_Page_14.jpg,1,text-emphasis,underline,1243,258,1,1,1243,258
LLD JPG all/L (101)_Page_15.jpg,3,graphic,footer,881,2121,1,1,881,2121
LLD JPG all/L (101)_Page_15.jpg,6,text-emphasis,italic,289,2074,1,1,289,2074
LLD JPG all/L (101)_Page_15.jpg,5,text-emphasis,bold,555,1820,1,1,555,1820
LLD JPG all/L (101)_Page_15.jpg,4,text-emphasis,underline,904,1390,1,1,904,1390
LLD JPG all/L (101)_Page_15.jpg,1,graphic,list,263,1055,1,1,263,1055
LLD JPG all/L (101)_Page_15.jpg,2,text-emphasis,b/u/centered,840,851,1,1,840,851
LLD JPG all/L (101)_Page_16.jpg,2,graphic,footer,892,2120,1,1,892,2120
LLD JPG all/L (101)_Page_16.jpg,4,text-emphasis,underline,1118,1341,1,1,1118,1341
LLD JPG all/L (101)_Page_16.jpg,6,text-emphasis,italic,1028,1217,1,1,1028,1217
LLD JPG all/L (101)_Page_16.jpg,1,graphic,list,259,1204,1,1,259,1204
LLD JPG all/L (101)_Page_16.jpg,5,text-emphasis,italic,866,965,1,1,866,965
LLD JPG all/L (101)_Page_16.jpg,3,text-emphasis,italic,852,193,1,1,852,193
LLD JPG all/L (101)_Page_17.jpg,3,graphic,footer,896,2130,1,1,896,2130
LLD JPG all/L (101)_Page_17.jpg,4,text-emphasis,underline,406,2013,1,1,406,2013
LLD JPG all/L (101)_Page_17.jpg,5,text-emphasis,bold,1242,1957,1,1,1242,1957
LLD JPG all/L (101)_Page_17.jpg,6,text-emphasis,underline,219,1890,1,1,219,1890
LLD JPG all/L (101)_Page_17.jpg,2,text-emphasis,b/u/centered,864,963,1,1,864,963
LLD JPG all/L (101)_Page_17.jpg,1,graphic,list,253,889,1,1,253,889
LLD JPG all/L (101)_Page_18.jpg,2,graphic,footer,906,2116,1,1,906,2116
LLD JPG all/L (101)_Page_18.jpg,12,text-emphasis,b/u/centered,859,1832,1,1,859,1832
LLD JPG all/L (101)_Page_18.jpg,11,text-emphasis,italic,843,1727,1,1,843,1727
LLD JPG all/L (101)_Page_18.jpg,10,text-emphasis,italic,868,1708,1,1,868,1708
LLD JPG all/L (101)_Page_18.jpg,9,text-emphasis,italic,754,1335,1,1,754,1335
LLD JPG all/L (101)_Page_18.jpg,1,graphic,list,267,1040,1,1,267,1040
LLD JPG all/L (101)_Page_18.jpg,7,text-emphasis,bold,956,973,1,1,956,973
LLD JPG all/L (101)_Page_18.jpg,8,text-emphasis,underline,1176,970,1,1,1176,970
LLD JPG all/L (101)_Page_18.jpg,6,text-emphasis,underline,499,731,1,1,499,731
LLD JPG all/L (101)_Page_18.jpg,13,text-emphasis,bold,708,724,1,1,708,724
LLD JPG all/L (101)_Page_18.jpg,5,text-emphasis,underline,1277,604,1,1,1277,604
LLD JPG all/L (101)_Page_18.jpg,4,text-emphasis,italic,683,540,1,1,683,540
LLD JPG all/L (101)_Page_18.jpg,3,text-emphasis,italic,520,351,1,1,520,351
LLD JPG all/L (101)_Page_19.jpg,2,graphic,footer,924,2115,1,1,924,2115
LLD JPG all/L (101)_Page_19.jpg,7,text-emphasis,bold,1112,1890,1,1,1112,1890
LLD JPG all/L (101)_Page_19.jpg,4,text-emphasis,underline,854,1665,1,1,854,1665
LLD JPG all/L (101)_Page_19.jpg,3,text-emphasis,i/u,848,1254,1,1,848,1254
LLD JPG all/L (101)_Page_19.jpg,1,graphic,list,255,919,1,1,255,919
LLD JPG all/L (101)_Page_19.jpg,6,text-emphasis,bold,994,669,1,1,994,669
LLD JPG all/L (101)_Page_19.jpg,5,text-emphasis,bold,783,594,1,1,783,594
LLD JPG all/L (101)_Page_20.jpg,2,graphic,footer,894,2128,1,1,894,2128
LLD JPG all/L (101)_Page_20.jpg,4,text-emphasis,underline,1082,1706,1,1,1082,1706
LLD JPG all/L (101)_Page_20.jpg,1,graphic,list,264,1092,1,1,264,1092
LLD JPG all/L (101)_Page_20.jpg,3,text-emphasis,underline,1118,856,1,1,1118,856
LLD JPG all/L (101)_Page_21.jpg,8,graphic,footer,903,2109,1,1,903,2109
LLD JPG all/L (101)_Page_21.jpg,2,text-emphasis,underline,1105,1832,1,1,1105,1832
LLD JPG all/L (101)_Page_21.jpg,3,text-emphasis,underline,477,1409,1,1,477,1409
LLD JPG all/L (101)_Page_21.jpg,12,text-emphasis,italic,1351,1217,1,1,1351,1217
LLD JPG all/L (101)_Page_21.jpg,4,text-emphasis,underline,1277,1158,1,1,1277,1158
LLD JPG all/L (101)_Page_21.jpg,11,text-emphasis,bold,1065,1040,1,1,1065,1040
LLD JPG all/L (101)_Page_21.jpg,10,text-emphasis,bold,235,1032,1,1,235,1032
LLD JPG all/L (101)_Page_21.jpg,1,graphic,list,260,995,1,1,260,995
LLD JPG all/L (101)_Page_21.jpg,9,text-emphasis,italic,1088,978,1,1,1088,978
LLD JPG all/L (101)_Page_21.jpg,6,text-emphasis,underline,983,738,1,1,983,738
LLD JPG all/L (101)_Page_21.jpg,5,text-emphasis,underline,843,703,1,1,843,703
LLD JPG all/L (101)_Page_21.jpg,7,text-emphasis,b/u/centered,904,289,1,1,904,289
LLD JPG all/L (101)_Page_22.jpg,2,graphic,footer,891,2112,1,1,891,2112
